Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr
Masaya Kamei,Japan,20,Quarterfinal Round,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,16th
Changyong Shin,South Korea,28,Semifinal Round,Bach,Toccata in D Major BWV 912,Semifinal,16th
Shuan Hern Lee,Australia,19,Quarterfinal Round,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,16th
Yunchan Lim,South Korea,18,Quarterfinal Rond,Bach,�Ricercar a 3� from The Musical Offering BWV 1079,1st,16th
William Wolfram,United States,29,Preliminary Phase 1,Bach,Toccata in F-sharp minor BWV 910,Preliminary,7th
Patti Wolf,United States,19,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Patti Wolf,United States,19,Recital Program,Bach,Toccata in E minor BWV 914,Preliminary,7th
Hans-Christian Wille,West Germany,27,Preliminary Phase 1,Bach,English Suite No.3 in G minor BWV 808,6th,7th
Andrew Wilde,United Kingdom,20,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,7th
David Allen Wehr,United States,27,Preliminary Phase 1,Bach,Toccata in D major BWV 912,Preliminary,7th
Sharon Joy Vogan,New Zealand,25,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Emma Takhmizian,Bulgaria,27,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,4th,7th
Eun Soo Son,Korea,21,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Kathryn Selby,Australia,22,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Semifinal,7th
Susan Savage,United States,29,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Ilan Rechtman,Israel,22,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Thomas Otten,United States,24,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Károly Mocsári,Hungary,22,Preliminary Phase 1,Bach,Italian Concerto BWV 971,5th,7th
Yuki Matsuzawa,Japan,26,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,7th
Paul Maillet,United States,27,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Norman Krieger,United States,28,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,7th
Youngho Kim,Korea,28,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Ingrid Jacoby,United States,26,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Diane Hidy,United States,26,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,Preliminary,7th
Eduardus Halim,Indonesia,23,Preliminary Phase 1,Bach,Partita No.4 in D major BWV 828,Preliminary,7th
JosE Feghali,Brazil,24,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,1st,7th
Thomas Duis,West Germany,26,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Barry Douglas,United Kingdom,25,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,3rd,7th
Lora Dimitrova,Bulgaria,22,Preliminary Phase 1,Bach,Partita No.4 in D major BWV 828,Preliminary,7th
Lora Dimitrova,Bulgaria,22,Recital Program,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,7th
Rian de Waal,Netherlands,26,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Semifinal,7th
Sergio de los Cobos,Spain,28,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Preliminary,7th
Marie-Noëlle Damien,Belgium,23,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Preliminary,7th
Chia Chou,Canada,25,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Semifinal,7th
Hung-Kuan Chen,United States,27,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,7th
David Buechner,United States,25,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Kathryn Brown,United States,23,Preliminary Phase 1,Bach,English Suite No.3 in G minor BWV 808,Preliminary,7th
William Bloomquist,United States,28,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Philippe Bianconi,France,25,Preliminary Phase 1,Bach,Toccata in C minor BWV 911,2nd,7th
Cristian Beldi,Romania,27,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Dan Atanasiu,Romania,29,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,7th
Dickran Atamian,United States,29,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,Preliminary,7th
Seizo Azuma,Japan,26,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
Jean-Efflam Bavouzet,France,28,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Semifinal,8th
Kathryn Brown,United States,27,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
David Buechner,United States,29,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,8th
Pedro Burmester,Portugal,25,Preliminary Phase 1,Bach,Partita No.6 in E minor BWV 830,Semifinal,8th
Laurent Cabasso,France,27,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
Angela Cheng,Canada,29,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Semifinal,8th
Angela Cholakyan,United States,29,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
JosE Carlos Cocarelli,Brazil,30,Preliminary Phase 1,Bach,Toccata in G minor BWV 915,2nd,8th
Lora Dimitrova,Bulgaria,26,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
Thomas Duis,West Germany,30,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,8th
Konstanze Eickhorst,West Germany,27,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,8th
Seung-Un Ha,United States,23,Preliminary Phase 1,Bach,Toccata in C minor BWV 911,Preliminary,8th
Seung-Un Ha,United States,23,Semifinals Recital,Bach,English Suite No.5 in E minor BWV810,Preliminary,8th
Eduardus Halim,Indonesia,27,Preliminary Phase 1,Bach,Partita No.4 in D major BWV 828,Preliminary,8th
Ivo Janssen,Holland,25,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,Preliminary,8th
Jürgen Jakob,West Germany,27,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
Kevin Kenner,United States,26,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Semifinal,8th
Hae-Jung Kim,United States,24,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Preliminary,8th
Rita Kinka,Yugoslavia,27,Preliminary Phase 1,Bach,Toccata in D major BWV 912,Preliminary,8th
Leonid Kuzmin,United States,25,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
Li Jian,People's Republic of China,24,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,8th
Lin Hai,People's Republic of China,20,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,8th
Lin Hai,People's Republic of China,20,Semifinals Recital,Bach,Prelude and Fugue in E-flat minor BWV 853,Semifinal,8th
Benedetto Lupo,Italy,25,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,3rd,8th
Wolfgang Manz,West Germany,28,Preliminary Phase 1,Bach,English Suite No.6 in D minor BWV 811,Preliminary,8th
Kayo Miki,Japan,29,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,8th
Károly Mocsári,Hungary,26,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Preliminary,8th
Predrag Muzijevic,Yugoslavia,25,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
John Nauman,United States,26,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,Preliminary,8th
Shari Raynor,United States,27,Preliminary Phase 1,Bach,Toccata in C minor BWV 911,Preliminary,8th
Veronika Reznikovskaya,USSR,23,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
Victor Sangiorgio,Australia,30,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,8th
Alexander Shtarkman,USSR,22,Preliminary Phase 1,Bach,Toccata in D minor BWV 913,4th,8th
Boris Slutsky,United States,27,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
Ju Hee Suh,Korea,21,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,8th
Hugh Tinney,Ireland,30,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
Andrew Wilde,Great Britain,24,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,8th
Ying Tian,People's Republic of China,20,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,5th,8th
Elisso Bolkvadze,USSR,22,Preliminary Phase 1,Bach,Italian Concerto BWV 971,6th,8th
Petronel Malan,South Africa,20,Semifinal Recital,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,9th
Simone Pedroni,Italy,24,Preliminary,Bach,English Suite No.6 in D minor BWV 811,1st,9th
Christopher Taylor,United States,23,Preliminary,Bach,Goldberg Variations BWV 988,3rd,9th
Christopher Taylor,United States,23,Final Concerti,Bach,Keyboard Concerto No.1 in D minor BWV 1052,3rd,9th
Andreas Woyke,Germany,27,Preliminary,Bach,Prelude and Fugue in B minor BWV 893,Preliminary,9th
Mikhail Yanovitsky,United States,28,Preliminary,Bach,Italian Concerto BWV 971,Preliminary,9th
Yanfeng Bai,China,23,Preliminary,Bach,Prelude and Fugue in A-flat Major BWV 862,3,Kern
Jonathan Mamora,USA,27,Preliminary,Bach,Prelude and Fugue in B-flat minor BWV 891,1,Kern
Anthony Ratinov,USA,24,Preliminary,Bach,Prelude and Fugue in B minor BWV 893,2,Kern
Rachel Kudo,United States / Japan,29,Semifinal,Bach,Overture in the French style BWV 831,Preliminary,s2016
Woo-Gil Park,Korea,23,Semifinal,Bach,Partita No.1 in B-flat Major BWV 825,Preliminary,s2016
Martin Malmgren,Sweden,29,Semifinal,Bach,Piano Concerto No.1 in D minor BWV 1052,Preliminary,s2016
Daniel Lebhardt,Hungary,24,Preliminary,Bach,Partita No.1 in B-flat Major BWV 825,Preliminary,s2016
Daniel Le,Australia,24,Semifinal,Bach,Toccata in E minor BWV 914,Preliminary,s2016
Jianing Kong,China,30,Preliminary,Bach,Prelude and Fugue in G-sharp minor BWV 863,6,s2016
Jianing Kong,China,30,Semifinal,Bach,Aria variata alla maniera italiana in A minor BWV 989,6,s2016
Peter de Jager,Australia,27,Semifinal,Bach,Toccata in F-sharp minor BWV 910,Preliminary,s2016
Kenneth Broberg,United States,23,Preliminary,Bach,Prelude and Fugue in A-flat Major BWV 862,4,s2016
Sergey Belyavskiy,Russia,23,Semifinal,Bach,Piano Concerto No.1 in D minor BWV 1052,Preliminary,s2016
Ke Ma,Chinese,27,Semi Final Round,Bach,Prelude and Fugue in B major BWV 868,,s2021
Antonii Baryshevskyi,Ukraine,33,Final Round,Bach,Prelude and Fugue in D major BWV 850,,s2021
Alice Burla,Canada,25,Semi Final Round,Bach,Overture in the French Style BWV 831,,s2021
Dominic Chamot,Switzerland,26,Final Round,Bach,Prelude and Fugue in B-flat minor BWV 867,,s2021
Kevin Chow,Australia,25,Preliminary Round,Bach,Toccata in C minor BWV 911,,s2021
Kevin Chow,Australia,25,Semi Final Round,Bach,Prelude and Fugue in E-flat minor BWV 853,,s2021
Dinara Klinton,Ukraine,32,Semi Final Round,Bach,Prelude and Fugue in C-sharp minor BWV 849,,s2021
Aleksandr Kliuchko,Russia,21,Semi Final Round,Bach,English Suite No.2 in A minor BWV 807,,s2021
Timur Mustakimov,Russia,34,Final Round,Bach,Overture in the French Style BWV 831,,s2021
Timur Mustakimov,Russia,34,Final Round,Bach,Sinfonia in E-flat major BWV 791,,s2021
Yu Nitahara,Japan,31,Final Round,Bach,Toccata in D major BWV 912,,s2021
Shion Ota,Japan,21,Final Round,Bach,English Suite No.2 in A minor BWV 807,,s2021
Kyoungsun Park,South Korea,29,Final Round,Bach,French Suite No.5 in G major BWV 816,,s2021
Tamila Salimdjanova,Uzbekistan,30,Preliminary Round,Bach,Toccata in D major BWV 912,,s2021
Dmitry Sin,Russia,27,Preliminary Round,Bach,Toccata in E minor BWV 914,,s2021
Ziang Xu,China,29,Preliminary Round,Bach,French Suite No.1 in D minor BWV 812,,s2021
Ziang Xu,China,29,Final Round,Bach,Goldberg Variations BWV 988,,s2021
Artem Yasynskyy,Ukraine,33,Preliminary Round,Bach,Partita in G major BWV 829: I. Opening,,s2021
Artem Yasynskyy,Ukraine,33,Final Round,Bach,from 15 Sinfonias: I. C major BWV 787 II. C minor BWV 788 III. D major BWV 789 VI. E major BWV 792 XI. G minor BWV 797 XIII. A minor BWV 798 XV. B minor BWV 801,,s2021
Yuri Bogdanov,Russia,25,Preliminary Round,Bach-Busoni,Chaconne in D Minor,Preliminary,10th
Jan Gottlieb Jiracek,Germany,24,Preliminary Round,Bach-Busoni,Chaconne in D Minor,Finalist,10th
Anton Mordasov,Russia,25,Preliminary Round,Bach-Busoni,Chaconne in D Minor,Preliminary,10th
Maurizio Baglini,Italy,26,Semifinal Recital,Bach-Busoni,Wachet auf ruft uns die Stimme BWV 645,Semifinal,11th
Maurizio Baglini,Italy,26,Semifinal Recital,Bach-Busoni,Nun komm der Heiden Heiland BWV 659,Semifinal,11th
Maurizio Baglini,Italy,26,Semifinal Recital,Bach-Busoni,In dir ist Freude BWV 615,Semifinal,11th
Stephen Beus,United States,23,Preliminary Recital,Bach-Busoni,Nun komm der Heiden Heiland BWV 659,Preliminary,11th
Lilian Akopova,Ukraine,21,Preliminary Round,Bach-Busoni,Wachet auf ruft uns die Stimme BWV 645,Preliminary,11th
Daria Rabotkina,Russia,24,Final Recital,Bach-Busoni,Nun komm der Heiden Heiland BWV 659,Preliminary,12th
Yoonjung Han,South Korea,24,Semifinal Recital,Bach-Busoni,Chaconne in D Minor,Preliminary,13th
Eduard Kunz,Russia,28,Preliminary Recital,Bach-Busoni,Chaconne in D Minor,Semifinal,13th
Soyeon Lee,South Korea,29,Final Recital,Bach-Busoni,Chaconne in D Minor,Preliminary,13th
Michail Lifits,Germany,26,Final Recital,Bach-Busoni,Chaconne in D Minor,Semifinal,13th
Mayumi Sakamoto,Japan,26,Semifinal Recital,Bach-Busoni,Chaconne in D Minor,Preliminary,13th
Scipione Sangiovanni,Italy,25,Preliminary Recital 1,Bach-Busoni,Komm Gott Schöpfer Heiliger Geist BWV 631,Preliminary,14th
Scipione Sangiovanni,Italy,25,Preliminary Recital 1,Bach-Busoni,Nun freut euch lieben Christen gemein BWV 734,Preliminary,14th
Scipione Sangiovanni,Italy,25,Preliminary Recital 1,Bach-Busoni,Nun komm der Heiden Heiland BWV 659,Preliminary,14th
Han Chen,Taiwan,25,Semifinal Recital,Bach-Busoni,Chaconne in D Minor,Semifinal,15th
Daniel Hsu,United States,19,Quarterfinal Recital,Bach-Busoni,Chaconne in D Minor,3rd,15th
Ilya Shmukler,Russia,22,Quarterfinal Recital,Bach-Busoni,Chaconne in D Minor,Preliminary,15th
Tristan Teo,Canada,20,Semifinal Recital,Bach-Busoni,Chaconne in D Minor,Preliminary,15th
Ilya Shmukler,Russia,27,Preliminary Round,Bach-Busoni,Toccata Adagio and Fugue in C Major BWV 564,Finalist,16th
Georgijs Osokins,Latvia,27,Semifinal Round,Bach-Busoni,Adagio in A Minor BWV 564,Preliminary,16th
Yutong Sun,China,26,Quarterfinal Round,Bach-Busoni,Chaconne in D Minor,Semifinal,16th
Francesco Granata,Italy,23,Semifinal Round,Bach-Busoni,Chaconne in D Minor,Preliminary,16th
Andrew Wilde,United Kingdom,20,Recital Program,Bach-Busoni,Chaconne in D minor,Semifinal,7th
Ingrid Jacoby,United States,26,Recital Program,Bach-Busoni,Chaconne in D minor,Preliminary,7th
Pedro Burmester,Portugal,25,Semifinals Recital,Bach-Busoni,Toccata and Fugue in D minor BWV565,Semifinal,8th
Eduardus Halim,Indonesia,27,Semifinals Recital,Bach-Busoni,Organ Toccata in C major,Preliminary,8th
Rita Kinka,Yugoslavia,27,Semifinals Recital,Bach-Busoni,Chaconne in D minor,Preliminary,8th
Armen Babakhanian,Armenia,25,Preliminary,Bach-Busoni,Chaconne in D minor,5th,9th
Frederic Chiu,United States,28,Preliminary,Bach-Busoni,Nun freut euch lieben Christen gemein BWV 734,Semifinal,9th
Frederic Chiu,United States,28,Preliminary,Bach-Busoni,Wachet auf ruft uns die Stimme BWV 645,Semifinal,9th
Valery Kuleshov,Russia,30,Preliminary,Bach-Busoni,Chaconne in D minor,2nd,9th
Yui Fushiki,Japanese,25,Semifinal,Bach-Busoni,Toccata Adagio and Fugue in C Major,Preliminary,s2016
Calvin Abdiel,Australian/Indonesia,20,Final Round,Bach-Busoni,In dir ist Freude BWV 615,,s2021
Calvin Abdiel,Australian/Indonesia,21,Final Round,Bach-Busoni,Ich ruf’ zu dir Herr BWV 639,,s2021
Calvin Abdiel,Australian/Indonesia,22,Final Round,Bach-Busoni,Nun freut euch lieben Christen BWV 734,,s2021
Ádám Balogh,Hungary,24,Preliminary Round,Bach-Busoni,Ich ruf’ zu dir Herr BWV 639,,s2021
Timur Mustakimov,Russia,34,Preliminary Round,Bach-Busoni,Chaconne in D minor,,s2021
Shion Ota,Japan,21,Semi Final Round,Bach-Busoni,Chaconne in D minor,,s2021
Artem Yasynskyy,Ukraine,33,Preliminary Round,Bach-Busoni,Toccata and Fugue in D Minor BWV 565,,s2021
Joel Hastings,Canada,27,Semifinal Recital,Barber,Sonata Op.26,Preliminary,10th
Olga Kern,Russia,26,Semifinal Recital,Barber,Sonata Op.26,1st,11th
Anton Mordasov,Russia,29,Preliminary Round,Barber,Sonata Op.26,Preliminary,11th
Stephen Beus,United States,23,Preliminary Recital,Barber,Sonata Op.26,Preliminary,11th
Gabriela Martinez,Venezuela,21,Preliminary,Barber,Ballade Op.46,Semifinal,12th
Esther Park,United States,20,Preliminary,Barber,Sonata Op.26,Preliminary,12th
Sa Chen,China,25,Final Recital,Barber,Sonata Op.26,3rd,12th
Naomi Kudo,United States/Japan,22,Final Recital,Barber,Sonata Op.26,Preliminary,13th
Yeol Eum Son,South Korea,23,Semifinal Recital,Barber,Sonata Op.26,2nd,13th
Zhang Zuo,China,20,Final Recital,Barber,Sonata Op.26,Preliminary,13th
Stephen Beus,United States,27,Preliminary Recital,Barber,Sonata Op.26,Preliminary,13th
Martin James Bartlett,United Kingdom,20,Preliminary Recital,Barber,Sonata Op.26,Preliminary,15th
Kenneth Broberg,United States,23,Preliminary Recital,Barber,Sonata Op.26,2nd,15th
Rachel Kudo,United States,30,Preliminary Recital,Barber,Sonata Op.26,Preliminary,15th
Honggi Kim,South Korea,30,Semifinal Round,Barber,Sonata Op.26,Semifinal,16th
David Allen Wehr,United States,27,Preliminary Phase 2,Barber,Sonata Op.26,Preliminary,7th
Sharon Joy Vogan,New Zealand,25,Recital Program,Barber,Excursions,Preliminary,7th
JosE Carlos Cocarelli,Brazil,30,Preliminary Phase 2,Barber,Sonata Op.26,2nd,8th
Yanfeng Bai,China,23,Semifinal,Barber,Sonata Op.26,3,Kern
Rachel Kudo,United States / Japan,29,Semifinal,Barber,Sonata Op.26,Preliminary,s2016
Kenneth Broberg,United States,23,Preliminary,Barber,Sonata Op.26,4,s2016
Maxim Kinasov,Russian,28,Semi Final Round,Barber,Sonata Op.26,,s2021
Calvin Abdiel,Australian/Indonesia,20,Final Round,Barber,Sonata Op.26,,s2021
Alice Burla,Canada,25,Final Round,Barber,Sonata Op.26,,s2021
Philipp Lynov,Russia,22,Final Round,Barber,Sonata Op.26,,s2021
Albert Tiu,Philippines,28,Preliminary,Bartók,SonataSz.80,Preliminary,10th
Tadashi Imai,Japan,25,Preliminary Round,Bartók,Three Etudes Op.18,Preliminary,11th
Tadashi Imai,Japan,25,Semifinal Recital,Bartók,SonataSz.80,Preliminary,11th
Maria Mazo,Russia/Germany,22,Semifinal,Bartók,SonataSz.80,Semifinal,12th
Wang Xiaohan,China,24,Final Recital,Bartók,SonataSz.80,Semifinal,12th
Di Wu,China,20,Semifinal Recital,Bartók,SonataSz.80,Preliminary,12th
Davide Cabassi,Italy,28,Final Recital,Bartók,Out of Doors,Finalist,12th
Ran Dank,Israel,27,Final Recital,Bartók,SonataSz.80,Semifinal,13th
Kyu Yeon Kim,South Korea,23,Preliminary Recital,Bartók,Three Etudes Op.18,Semifinal,13th
Eduard Kunz,Russia,28,Final Recital,Bartók,Suite Op.14,Semifinal,13th
Luca Buratto,Italy,20,Preliminary Recital 2,Bartók,SonataSz.80,Preliminary,14th
Sean Chen,United States,24,Preliminary Recital 1,Bartók,Three Etudes Op.18,2nd,14th
Alexey Chernov,Russia,30,Semifinal Recital,Bartók,Etude Op.18 No.3,Semifinal,14th
Beatrice Rana,Italy,20,Preliminary Recital 2,Bartók,Out of Doors,2nd,14th
Yutong Sun,China,21,Quarterfinal Recital,Bartók,SonataSz.80,Semifinal,15th
