"Name","Nationality","Age","Stage","Composer","Piece","Movement"
"Jianing Kong","Chinese","30","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Jianing Kong","Chinese","30","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.21 in C Major K.467","Allegro maestoso
Andante
Allegro vivace assai"
"Jianing Kong","Chinese","30","Round 2: 19th or 20th Century Concerto","Johannes Brahms","Concerto No.2 in B♭ Major Op.83","Allegro non troppo
Allegro appassionato
Andante
Allegretto grazioso"
"Alyosha Jurinic","Croatian","27","Round 1: 20-Minute Recital","Claude Debussy","Rêverie",""
"Alyosha Jurinic","Croatian","27","Round 1: 20-Minute Recital","Ludwig van Beethoven","Sonata No.13 in E♭ Major Op.27 No.1","Andante – Allegro – Andante
Allegro molto e vivace
Adagio con espressione
Allegro vivace"
"Alyosha Jurinic","Croatian","27","Round 2: 30-Minute Recital","Roy Agnew","Poem No.1 (1922)",""
"Alyosha Jurinic","Croatian","27","Round 2: 30-Minute Recital","Frédéric Chopin","Sonata No.3 in B minor Op.58","Allegro maestoso
Scherzo: Molto vivace
Largo
Finale: Presto non tanto; Agitato"
"Alyosha Jurinic","Croatian","27","Round 1: 65-Minute Recital","Robert Schumann","Sonata No.1 in F♯ minor Op.11","Introduzione: Un poco Adagio – Allegro vivace
Aria
Scherzo: Allegrissimo – intermezzo: Lento
Finale: Allegro, un poco maestoso"
"Alyosha Jurinic","Croatian","27","Round 1: 65-Minute Recital","Claude Debussy","Images Book 2","Cloches à travers les feuilles
Et la lune descend sur le temple qui fut
Poissons d’or"
"Alyosha Jurinic","Croatian","27","Round 1: 65-Minute Recital","Franz Liszt","Étude de concert S.144 No.2","Hungarian Rhapsody No.11 in A minor S.244"
"Alyosha Jurinic","Croatian","27","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Alyosha Jurinic","Croatian","27","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Alyosha Jurinic","Croatian","27","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.26 in D Major K.537","Allegro
Larghetto
Allegretto"
"Alyosha Jurinic","Croatian","27","Round 2: 19th or 20th Century Concerto","Sergei Rachmaninoff","Concerto No.2 in C minor Op.18","Moderato
Adagio sostenuto
Allegro scherzando"
"Fantee Jones","Taiwanese American","23","Round 1: 20-Minute Recital","Joseph Haydn","Sonata in E Major HobXVI:31","Moderato
Allegretto
Finale. Presto"
"Fantee Jones","Taiwanese American","23","Round 1: 20-Minute Recital","Percy Grainger","Country Gardens (1918)",""
"Fantee Jones","Taiwanese American","23","Round 1: 20-Minute Recital","Henri Dutilleux","Sonata III: Choral et Variations",""
"Fantee Jones","Taiwanese American","23","Round 2: 30-Minute Recital","Frédéric Chopin","","Waltz Op.70 No. 2
Waltz Op.34 No.3"
"Fantee Jones","Taiwanese American","23","Round 2: 30-Minute Recital","Robert Schumann","Carnaval Op.9","Préambule
Pierrot
Arlequin
Valse Noble
Eusebius
Florestan
Coquette
Réplique (Sphinxes)
Papillons X. A.S.C.H. – S.C.H.A:Lettres Dansantes
Chiarina
Chopin
Estrella
Reconnaissance
Pantalon et Colombine
Valse allemande. Intermezzo: Paganini
Aveu
Promenade
Pause
Marche des ‘Davidsbundler’ contre les Philistins"
"Fantee Jones","Taiwanese American","23","Round 1: 65-Minute Recital","Franz Schubert","Fantasie in C Major D.760 (Wanderer)","Allegro con fuoco ma non troppo
Adagio
Allegro
Allegro"
"Fantee Jones","Taiwanese American","23","Round 1: 65-Minute Recital","Frédéric Chopin","12 Études Op.25","A♭ Major
F minor
F Major
A minor
E minor
G♯ minor
C♯ minor
D♭ Major
G♭ Major
B minor
A minor
C minor"
"Fantee Jones","Taiwanese American","23","Round 1: 65-Minute Recital","Charles Gounod/Franz Liszt","Waltz from ‘Faust’",""
"Fantee Jones","Taiwanese American","23","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Fantee Jones","Taiwanese American","23","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Fantee Jones","Taiwanese American","23","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.24 in C minor K.491","Allegro
Larghetto
Allegretto"
"Fantee Jones","Taiwanese American","23","Round 2: 19th or 20th Century Concerto","Sergei Prokofiev","Concerto No.3 in C Major Op.26","Andante. Allegro
Tema con variazioni
Allegro, ma non troppo"
"Gyu Tae Ha","Korean","20","Round 1: 20-Minute Recital","Frédéric Chopin","Nocturne Op.27 No.2 in D♭ Major",""
"Gyu Tae Ha","Korean","20","Round 1: 20-Minute Recital","Franz Liszt","Mephisto Waltz No.1 S.514",""
"Gyu Tae Ha","Korean","20","Round 2: 30-Minute Recital","Ludwig van Beethoven","Sonata No.27 in E minor Op.90","Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck
Nicht zu geschwind und sehr singbar vorgetragen"
"Gyu Tae Ha","Korean","20","Round 2: 30-Minute Recital","Carl Vine","Piano Sonata No.1 (1990)","Lento
Leggiero e legato"
"Gyu Tae Ha","Korean","20","Round 1: 65-Minute Recital","Joseph Haydn","Sonata in B minor HobXVI:32","Allegro moderato
Menuetto
Finale. Presto"
"Gyu Tae Ha","Korean","20","Round 1: 65-Minute Recital","Robert Schumann","Kreisleriana Op.16","Äusserst bewegt
Sehr innig und nicht zu rasch
Sehr autgeregt
Sehr langsam
Sehr lebhaft
Sehr langsam
Sehr rasch
Schnell und spielend"
"Gyu Tae Ha","Korean","20","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.7 Op.83","Allegro inquieto

Andante caloroso
Precipitato"
"Gyu Tae Ha","Korean","20","Round 2: Accompaniment/Chamber Music","Johannes Brahms","Sonata for Violin and Piano No.3 in D minor Op.108","Allegro
Adagio
Un poco presto e con sentimento
Presto agitato"
"Gyu Tae Ha","Korean","20","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Gyu Tae Ha","Korean","20","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.20 in D minor K.466","Allegro
Romanze
Allegro assai"
"Gyu Tae Ha","Korean","20","Round 2: 19th or 20th Century Concerto","Ludwig van Beethoven","Concerto No.4 in G Major Op.58","Allegro moderato
Andante con moto
Rondo (Vivace)"
"Andrey Gugnin.","Russian","29","Round 1: 20-Minute Recital","Ludwig van Beethoven","Fantasia in G minor Op.77","Faribolo Pastour S.236/1
Transcendental Étude No.5 ‘Feux Follets’"
"Andrey Gugnin.","Russian","29","Round 2: 30-Minute Recital","Vsevolod Zaderatsky","Prelude and Fugue D Major from ‘24 Preludes and Fugues’",""
"Andrey Gugnin.","Russian","29","Round 2: 30-Minute Recital","Michael Kieran Harvey","48 Fugues for Frank Zappa No.6: G-Spot Tornado (2009)",""
"Andrey Gugnin.","Russian","29","Round 2: 30-Minute Recital","Jean Sibelius","Impromptu in B minor Op.5 No.5",""
"Andrey Gugnin.","Russian","29","Round 2: 30-Minute Recital","Maurice Ravel","Miroirs No.3 ‘Une Barque sur l’Ocean’",""
"Andrey Gugnin.","Russian","29","Round 2: 30-Minute Recital","Mily Balakirev","Islamey – Fantasie orientale Op.18",""
"Andrey Gugnin.","Russian","29","Round 1: 65-Minute Recital","Nikolai Medtner","Sonata Op.53 No.1 ‘Romantica’","Romanza: Andantino con moto, ma sempre espressivo
Scherzo: Allegro
Meditazione: Andante con moto
Finale: Allegro non troppo"
"Andrey Gugnin.","Russian","29","Round 1: 65-Minute Recital","Alexander Scriabin","Three Pieces Op.45","Feuillet d’album
Poème fantasque
Prélude"
"Andrey Gugnin.","Russian","29","Round 1: 65-Minute Recital","Frédéric Chopin","12 Études Op.25","A♭ Major
F minor
F Major
A minor
E minor
G♯ minor
C♯ minor
D♭ Major
G♭ Major
B minor
A minor
C minor"
"Andrey Gugnin.","Russian","29","Round 2: Accompaniment/Chamber Music","Ludwig van Beethoven","Sonata for Piano and Violin No.9 in A Major Op.47 ‘Kreutzer’","Adagio sostenuto – Presto
Andante con variazioni
Presto"
"Andrey Gugnin.","Russian","29","Round 2: Accompaniment/Chamber Music","César Franck","Piano Quintet in F minor","Molto moderato quasi lento – Allegro
Lento con molto sentiment
Allegro non troppo ma con fuoco"
"Andrey Gugnin.","Russian","29","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.9 in E♭ Major K.271","Allegro
Andantino
Rondo. Presto"
"Andrey Gugnin.","Russian","29","Round 2: 19th or 20th Century Concerto","Sergei Prokofiev","Concerto No.3 in C Major Op.26","Andante. Allegro
Tema con variazioni
Allegro, ma non troppo"
"Ayesha Gough","Australian","22","Round 1: 20-Minute Recital","Pyotr Ilyich Tchaikovsky","Dumka Op.59",""
"Ayesha Gough","Australian","22","Round 1: 20-Minute Recital","Peter Sculthorpe","Djilile (1986)",""
"Ayesha Gough","Australian","22","Round 1: 20-Minute Recital","Rodion Shchedrin/Mikhail Pletnev","Prologue and Horse-Racing from the ballet ‘Anna Karenina’",""
"Ayesha Gough","Australian","22","Round 2: 30-Minute Recital","Giuseppe Verdi/Franz Liszt","Miserere du Trovatore S.433",""
"Ayesha Gough","Australian","22","Round 2: 30-Minute Recital","Franz Schubert","Grazer Fantasie in C Major D.605a",""
"Ayesha Gough","Australian","22","Round 2: 30-Minute Recital","Michael Kieran Harvey","Toccata DNA (1993)",""
"Ayesha Gough","Australian","22","Round 1: 65-Minute Recital","Ludwig van Beethoven","Sonata in C minor No.32 Op.111","Maestoso – Allegro con brio ed appassionato
Arietta: Adagio molto semplice e cantabile"
"Ayesha Gough","Australian","22","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.6 in A Major Op.82","Allegro inquieto
Allegretto
Tempo di valzer, lentissimo
Vivace"
"Ayesha Gough","Australian","22","Round 2: Accompaniment/Chamber Music","Gabriel Fauré","Sonata for Violin and Piano No.1 in A Major Op.13","Allegro molto

Andante
Allegro vivo
Allegro quasi presto"
"Ayesha Gough","Australian","22","Round 2: Accompaniment/Chamber Music","Ernest Bloch","Piano Quintet No.1","Agitato
Andante mistico
Allegro energico"
"Ayesha Gough","Australian","22","Round 1: 18th Century Concerto","Ludwig van Beethoven","Concerto No.1 in C Major Op.15","Allegro con brio
Largo
Rondo. Allegro"
"Ayesha Gough","Australian","22","Round 2: 19th or 20th Century Concerto","Sergei Prokofiev","Concerto No.3 in C Major Op.26","Andante. Allegro
Tema con variazioni
Allegro, ma non troppo"
"Lindsay Garritson","American","29","Round 1: 20-Minute Recital","Alexander Scriabin","Piano Sonata in G♯ minor No.2 Op.19","Andante
Presto"
"Lindsay Garritson","American","29","Round 1: 20-Minute Recital","Carl Vine","Toccatissimo (2011)",""
"Lindsay Garritson","American","29","Round 2: 30-Minute Recital","Franz Liszt","Rhapsodie Espagnole S.254",""
"Lindsay Garritson","American","29","Round 2: 30-Minute Recital","Franz Schubert/Franz Liszt","Ständchen D.889",""
"Lindsay Garritson","American","29","Round 2: 30-Minute Recital","Béla Bartók","Sonata Sz.80","Allegro moderato
Sostenuto e pesante
Allegro molto"
"Lindsay Garritson","American","29","Round 1: 65-Minute Recital","Robert Schumann","Grand Sonata No.3 in F minor Op.14","Allegro
Scherzo Vivacissimo
Scherzo molto comodo
Quasi variazioni-Andantino de Clara Wieck
Prestissimo possibile"
"Lindsay Garritson","American","29","Round 1: 65-Minute Recital","Mikhail Glinka/Mily Balakirev","The Lark",""
"Lindsay Garritson","American","29","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.6 in A Major Op.82","Allegro inquieto
Allegretto
Tempo di valzer, lentissimo
Vivace"
"Lindsay Garritson","American","29","Round 2: Accompaniment/Chamber Music","Richard Strauss","Sonata for Violin and Piano in E♭ Major Op.18","Allegro, ma non troppo
Improvisation: Andante cantabile
Finale: Andante – Allegro"
"Lindsay Garritson","American","29","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Lindsay Garritson","American","29","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.20 in D minor K.466","Allegro
Romanze
Allegro assai"
"Lindsay Garritson","American","29","Round 2: 19th or 20th Century Concerto","Camille Saint-Saëns","Concerto No.2 in G minor Op.22","Andante sostenuto
Allegro scherzando
Presto"
"Yui Fushiki","Japanese","25","Round 1: 20-Minute Recital","Frédéric Chopin","Polonaise Fantasie in A♭ Major Op.61",""
"Yui Fushiki","Japanese","25","Round 1: 20-Minute Recital","Peter Sculthorpe","Harbour Dreaming (2000)",""
"Yui Fushiki","Japanese","25","Round 2: 30-Minute Recital","Joseph Haydn","Sonata in E minor HobXVI:34","Presto
Adagio
Finale. Molto vivace"
"Yui Fushiki","Japanese","25","Round 2: 30-Minute Recital","Béla Bartók","Dance Suite","Moderato
Allegro molto
Allegro vivace
Molto tranquillo
Comodo
Finale. Allegro"
"Yui Fushiki","Japanese","25","Round 1: 65-Minute Recital","Johann Sebastian Bach/Busoni","Toccata, Adagio and Fugue in C Major",""
"Yui Fushiki","Japanese","25","Round 1: 65-Minute Recital","Gabriel Fauré","Ballade in F# major Op.19",""
"Yui Fushiki","Japanese","25","Round 1: 65-Minute Recital","Robert Schumann","Carnaval Op.9","Préambule
Pierrot
Arlequin
Valse Noble
Eusebius
Florestan
Coquette
Réplique (Sphinxes)
Papillons X. A.S.C.H. – S.C.H.A:Lettres Dansantes
Chiarina
Chopin
Estrella
Reconnaissance
Pantalon et Colombine
Valse allemande. Intermezzo: Paganini
Aveu
Promenade
Pause
Marche des ‘Davidsbundler’ contre les Philistins"
"Yui Fushiki","Japanese","25","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Yui Fushiki","Japanese","25","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Yui Fushiki","Japanese","25","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.23 in A Major K.488","Allegro
Adagio
Allegro assai"
"Yui Fushiki","Japanese","25","Round 2: 19th or 20th Century Concerto","Ludwig van Beethoven","Concerto No.4 in G Major Op.58","Allegro moderato
Andante con moto
Rondo (Vivace)"
"Peter de Jager","Australian","27","Round 1: 20-Minute Recital","Alessandro Scarlatti","","Sonata in D Major K.490 L.206
Sonata in D Major K.491 L.164
Sonata in C Major K.420 L.502
Sonata in C Major K.421 L.252"
"Peter de Jager","Australian","27","Round 1: 20-Minute Recital","György Ligeti","","Études pour piano, premier livre: II. ‘Cordes à vide’ IV. ‘Fanfares’"
"Peter de Jager","Australian","27","Round 2: 30-Minute Recital","Sergei Lyapunov","Transcendental Étude Op.11 No.10 in B minor ‘Lesghinka’",""
"Peter de Jager","Australian","27","Round 2: 30-Minute Recital","Chris Dench","Tiento de medio registro alto (1978 rev. 2003)",""
"Peter de Jager","Australian","27","Round 2: 30-Minute Recital","Karol Szymanowski","Piano Sonata No.3 Op.36",""
"Peter de Jager","Australian","27","Round 1: 65-Minute Recital","Johann Sebastian Bach","Toccata in F# minor BWV 910",""
"Peter de Jager","Australian","27","Round 1: 65-Minute Recital","Ferruccio Busoni","Sonatina Seconda BV.259",""
"Peter de Jager","Australian","27","Round 1: 65-Minute Recital","Leopold Godowsky","from Java Suite: IX. ‘In the streets of old Batavia’","X. ‘In the Kraton’"
"Peter de Jager","Australian","27","Round 1: 65-Minute Recital","Charles-Valentin Alkan","Symphonie pour piano seul from Douze Études dans les tons mineurs Op.39 Nos. 4-7","Allegro
Marche Funèbre
Menuet IV.Finale"
"Peter de Jager","Australian","27","Round 2: Accompaniment/Chamber Music","Gabriel Fauré","Sonata for Violin and Piano No.1 in A Major Op.13","Allegro molto
Andante
Allegro vivo
Allegro"
"Peter de Jager","Australian","27","Round 2: Accompaniment/Chamber Music","César Franck","Piano Quintet in F minor","Molto moderato uasi lento – Allegro
Lento con molto sentiemtn
Allegro non troppo ma con fuoco"
"Peter de Jager","Australian","27","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.23 in A major K488","Allegro
Adagio
Allegro assai"
"Peter de Jager","Australian","27","Round 2: 19th or 20th Century Concerto","Camille Saint-Saëns","Concerto No.2 in G minor Op.22","Andante sostenuto
Allegro scherzando
Presto"
"Rachel Cheung","Hong Kong","25","Round 1: 20-Minute Recital","Domenico Scarlatti","Sonata in C Major K.384",""
"Rachel Cheung","Hong Kong","25","Round 1: 20-Minute Recital","Domenico Scarlatti","Sonata in A Major K.39",""
"Rachel Cheung","Hong Kong","25","Round 1: 20-Minute Recital","Johannes Brahms","4 Klavierstücke Op.119","I. Intermezzo II. Intermezzo III. Intermezzo IV. Rhapsody"
"Rachel Cheung","Hong Kong","25","Round 2: 30-Minute Recital","Ludwig van Beethoven","Sonata No.27 in E minor Op.90","I. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck II. Nicht zu geschwind und sehr singbar vorgetragen"
"Rachel Cheung","Hong Kong","25","Round 2: 30-Minute Recital","Roger Smalley","Morceau de concours (2007)",""
"Rachel Cheung","Hong Kong","25","Round 2: 30-Minute Recital","Alexander Scriabin","Piano Sonata No.4 in F♯ Major Op.30","I. Andante II. Prestissimo volando"
"Rachel Cheung","Hong Kong","25","Round 1: 65-Minute Recital","Franz Schubert","3 Klavierstücke D.946","I. Allegro assai"
"Rachel Cheung","Hong Kong","25","Round 1: 65-Minute Recital","Maurice Ravel","Miroirs No.3 ‘Une Barque sur l’Ocean’",""
"Rachel Cheung","Hong Kong","25","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.6 in A Major Op.82","I. Allegroinquieto"
"Rachel Cheung","Hong Kong","25","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","I. 
Allegretto ben moderato"
"Rachel Cheung","Hong Kong","25","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","I. Allegro, ma non tanto"
"Rachel Cheung","Hong Kong","25","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.20 in D minor K.466","I. Allegro"
"Rachel Cheung","Hong Kong","25","Round 2: 19th or 20th Century Concerto","Ludwig van Beethoven","Concerto No.4 in G Major Op.58","I. Allegro moderato"
"Moye Chen","Chinese","33","Round 1: 20-Minute Recital","Domenico Scarlatti","Sonata in G minor K.8",""
"Moye Chen","Chinese","33","Round 1: 20-Minute Recital","Edvard Grieg","from Lyric Pieces","‘Butterfly’ Op.43 No.1
‘March of the Dwarfs’ Op.54 No.3"
"Moye Chen","Chinese","33","Round 1: 20-Minute Recital","Franz Liszt/Vladimir Horowitz","Hungarian Rhapsody No.19 in D minor S.244",""
"Moye Chen","Chinese","33","Round 2: 30-Minute Recital","Percy Grainger","Ramble on Love from Richard Strauss's ‘Der Rosenkavalier’ (1922)",""
"Moye Chen","Chinese","33","Round 2: 30-Minute Recital","Sergei Rachmaninoff","Sonata No.2 in B♭ minor Op.36 (Combined Version)","Allegro agitato
Non allegro
Allegro molto"
"Moye Chen","Chinese","33","Round 1: 65-Minute Recital","Alexander Scriabin","Poème No.1 in F♯ Major Op.32",""
"Moye Chen","Chinese","33","Round 1: 65-Minute Recital","Alexander Scriabin","Piano Sonata No.10 Op.70",""
"Moye Chen","Chinese","33","Round 1: 65-Minute Recital","Wolfgang Amadeus Mozart","Sonata No.10 in C Major K.330","Allegro moderato
Andante cantabile
Allegretto"
"Moye Chen","Chinese","33","Round 1: 65-Minute Recital","Franz Liszt","Sonata in B minor S.178","Lento assai – Allegro energico – Grandioso – Recitativo – Andante sontsenuto – Quasi adagio – Allegro energico – Stretta quasi presto – Presto – Prestissimo – Andante sostenuto – Allegro moderato – Lento assai"
"Moye Chen","Chinese","33","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Moye Chen","Chinese","33","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Moye Chen","Chinese","33","Round 2: 19th or 20th Century Concerto","Sergei Rachmaninoff","Concerto No.2 in C minor Op.18","Moderato
Adagio sostenuto
Allegro scherzando"
"Kenneth Broberg","American","23","Round 1: 20-Minute Recital","Johann Sebastian Bach","The Well-Tempered Clavier Book I: Prelude and Fugue in A♭Major BWV 862",""
"Kenneth Broberg","American","23","Round 1: 20-Minute Recital","Franz Liszt","Après une Lecture de Dante: Fantasia quasi Sonata (from Années de Pèlerinage, Book II: Italie)",""
"Kenneth Broberg","American","23","Round 2: 30-Minute Recital","Maurice Ravel","Jeux d'eau",""
"Kenneth Broberg","American","23","Round 2: 30-Minute Recital","Samuel Barber","Piano Sonata Op.26","Allegro energico
Allegro vivace e leggero
Adagio mesto
Fuga: Allegro con spirito"
"Kenneth Broberg","American","23","Round 2: 30-Minute Recital","Carl Vine","from Five Bagatelles (1994)","Threnody"
"Kenneth Broberg","American","23","Round 1: 65-Minute Recital","Ludwig van Beethoven","Piano Sonata No.7 in D Major Op.10 No.3","Presto
Largo e mesto
Menuetto: Allegro
Rondo: Allegro"
"Kenneth Broberg","American","23","Round 1: 65-Minute Recital","Frédéric Chopin","Ballade No.4 in F minor Op.52",""
"Kenneth Broberg","American","23","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.6 in A Major Op.82","Allegro inquieto
Allegretto
Tempo di valzer, lentissimo
Vivace"
"Kenneth Broberg","American","23","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Kenneth Broberg","American","23","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Kenneth Broberg","American","23","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.25 in C Major K.503","Allegro maestoso
Andante
Allegretto"
"Kenneth Broberg","American","23","Round 2: 19th or 20th Century Concerto","Camille Saint-Saëns","Concerto No.2 in G minor Op.22","Andante sostenuto
Allegro scherzando
Presto"
"Sergey Belyavskiy 2016","Russian","23","Round 1: 20-Minute Recital","Ludwig van Beethoven","Rondo a capriccio Op.129 'Rage Over a Lost Penny'",""
"Sergey Belyavskiy 2016","Russian","23","Round 1: 20-Minute Recital","Carl Vine","from Five Bagatelles (1994)","Darkly
Leggiero e legato"
"Sergey Belyavskiy 2016","Russian","23","Round 1: 20-Minute Recital","Franz Liszt","Hungarian Rhapsody No.2 in C♯ minor",""
"Sergey Belyavskiy 2016","Russian","23","Round 2: 30-Minute Recital","Claude Debussy","La plus que lente",""
"Sergey Belyavskiy 2016","Russian","23","Round 2: 30-Minute Recital","Fritz Kreisler/Sergei Rachmaninoff","","‘Liebesfreud’
‘Liebesleid’"
"Sergey Belyavskiy 2016","Russian","23","Round 2: 30-Minute Recital","Franz Liszt","Réminiscences de Don Juan",""
"Sergey Belyavskiy 2016","Russian","23","Round 1: 65-Minute Recital","Frédéric Chopin","Polonaise F♯ minor Op.44",""
"Sergey Belyavskiy 2016","Russian","23","Round 1: 65-Minute Recital","Frédéric Chopin","Waltzes Op.34","Vivace in A♭ Major
Lento in A minor
Vivace in F major"
"Sergey Belyavskiy 2016","Russian","23","Round 1: 65-Minute Recital","Frédéric Chopin","Nocturne Op.27 No.2 in D♭ Major",""
"Sergey Belyavskiy 2016","Russian","23","Round 1: 65-Minute Recital","Frédéric Chopin","12 Études Op.25","A♭ Major
F minor
F Major
A minor
E minor
G♯ minor
C♯ minor
D♭ Major
G♭ Major
B minor
A minor
C minor"
"Sergey Belyavskiy 2016","Russian","23","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Sergey Belyavskiy 2016","Russian","23","Round 2: Accompaniment/Chamber Music","César Franck","Piano Quintet in F minor","Molto moderato quasi lento – Allegro
Lento con molto sentiment
Allegro non troppo ma con fuoco"
"Sergey Belyavskiy 2016","Russian","23","Round 1: 18th Century Concerto","Johann Sebastian Bach","Concerto No.1 in D minor BWV 1052","Allegro
Adagio
Allegro"
"Sergey Belyavskiy 2016","Russian","23","Round 2: 19th or 20th Century Concerto","Sergei Rachmaninoff","Concerto No.2 in C minor Op.18","Moderato
Adagio sostenuto
Allegro scherzando"
